NOP ;00
BIT 1,B ;CB48
BIT 1,C ;CB49
BIT 1,D ;CB4A
BIT 1,E ;CB4B
BIT 1,H ;CB4C
BIT 1,L ;CB4D
BIT 1,(HL) ;CB4E
BIT 1,A ;CB4F
BIT 2,B ;CB50
BIT 2,C ;CB51
BIT 2,D ;CB52
BIT 2,E ;CB53
BIT 2,H ;CB54
BIT 2,L ;CB55
BIT 2,(HL) ;CB56
BIT 2,A ;CB57
BIT 3,B ;CB58
BIT 3,C ;CB59
BIT 3,D ;CB5A
BIT 3,E ;CB5B
BIT 3,H ;CB5C
BIT 3,L ;CB5D
BIT 3,(HL) ;CB5E
BIT 3,A ;CB5F
BIT 4,B ;CB60
BIT 4,C ;CB61
BIT 4,D ;CB62
BIT 4,E ;CB63
BIT 4,H ;CB64
BIT 4,L ;CB65
BIT 4,(HL) ;CB66
BIT 4,A ;CB67
BIT 5,B ;CB68
BIT 5,C ;CB69
BIT 5,D ;CB6A
BIT 5,E ;CB6B
BIT 5,H ;CB6C
BIT 5,L ;CB6D
BIT 5,(HL) ;CB6E
BIT 5,A ;CB6F
BIT 6,B ;CB70
BIT 6,C ;CB71
BIT 6,D ;CB72
BIT 6,E ;CB73
BIT 6,H ;CB74
BIT 6,L ;CB75
BIT 6,(HL) ;CB76
BIT 6,A ;CB77
BIT 7,B ;CB78
BIT 7,C ;CB79
BIT 7,D ;CB7A
BIT 7,E ;CB7B
BIT 7,H ;CB7C
BIT 7,L ;CB7D
BIT 7,(HL) ;CB7E
BIT 7,A ;CB7F
RES 0,B ;CB80
RES 0,C ;CB81
RES 0,D ;CB82
RES 0,E ;CB83
RES 0,H ;CB84
RES 0,L ;CB85
RES 0,(HL) ;CB86
RES 0,A ;CB87
RES 1,B ;CB88
RES 1,C ;CB89
RES 1,D ;CB8A
RES 1,E ;CB8B
RES 1,H ;CB8C
RES 1,L ;CB8D
RES 1,(HL) ;CB8E
RES 1,A ;CB8F
RES 2,B ;CB90
RES 2,C ;CB91
RES 2,D ;CB92
RES 2,E ;CB93
RES 2,H ;CB94
RES 2,L ;CB95
RES 2,(HL) ;CB96
RES 2,A ;CB97
RES 3,B ;CB98
RES 3,C ;CB99
RES 3,D ;CB9A
RES 3,E ;CB9B
RES 3,H ;CB9C
RES 3,L ;CB9D
RES 3,(HL) ;CB9E
RES 3,A ;CB9F
RES 4,B ;CBA0
RES 4,C ;CBA1
RES 4,D ;CBA2
RES 4,E ;CBA3
RES 4,H ;CBA4
RES 4,L ;CBA5
RES 4,(HL) ;CBA6
RES 4,A ;CBA7
RES 5,B ;CBA8
RES 5,C ;CBA9
RES 5,D ;CBAA
RES 5,E ;CBAB
RES 5,H ;CBAC
RES 5,L ;CBAD
RES 5,(HL) ;CBAE
RES 5,A ;CBAF
RES 6,B ;CBB0
RES 6,C ;CBB1
RES 6,D ;CBB2
RES 6,E ;CBB3
RES 6,H ;CBB4
RES 6,L ;CBB5
RES 6,(HL) ;CBB6
RES 6,A ;CBB7
RES 7,B ;CBB8
RES 7,C ;CBB9
RES 7,D ;CBBA
RES 7,E ;CBBB
RES 7,H ;CBBC
RES 7,L ;CBBD
RES 7,(HL) ;CBBE
RES 7,A ;CBBF
SET 0,B ;CBC0
SET 0,C ;CBC1
SET 0,D ;CBC2
SET 0,E ;CBC3
SET 0,H ;CBC4
SET 0,L ;CBC5
SET 0,(HL) ;CBC6
SET 0,A ;CBC7
SET 1,B ;CBC8
SET 1,C ;CBC9
SET 1,D ;CBCA
SET 1,E ;CBCB
SET 1,H ;CBCC
SET 1,L ;CBCD
SET 1,(HL) ;CBCE
SET 1,A ;CBCF
SET 2,B ;CBD0
SET 2,C ;CBD1
SET 2,D ;CBD2
SET 2,E ;CBD3
SET 2,H ;CBD4
SET 2,L ;CBD5
SET 2,(HL) ;CBD6
SET 2,A ;CBD7
SET 3,B ;CBD8
SET 3,C ;CBD9
SET 3,D ;CBDA
SET 3,E ;CBDB
SET 3,H ;CBDC
SET 3,L ;CBDD
SET 3,(HL) ;CBDE
SET 3,A ;CBDF
SET 4,B ;CBE0
SET 4,C ;CBE1
SET 4,D ;CBE2
SET 4,E ;CBE3
SET 4,H ;CBE4
SET 4,L ;CBE5
SET 4,(HL) ;CBE6
SET 4,A ;CBE7
SET 5,B ;CBE8
SET 5,C ;CBE9
SET 5,D ;CBEA
SET 5,E ;CBEB
SET 5,H ;CBEC
SET 5,L ;CBED
SET 5,(HL) ;CBEE
SET 5,A ;CBEF
SET 6,B ;CBF0
SET 6,C ;CBF1
SET 6,D ;CBF2
SET 6,E ;CBF3
SET 6,H ;CBF4
SET 6,L ;CBF5
SET 6,(HL) ;CBF6
SET 6,A ;CBF7
SET 7,B ;CBF8
SET 7,C ;CBF9
SET 7,D ;CBFA
SET 7,E ;CBFB
SET 7,H ;CBFC
SET 7,L ;CBFD
SET 7,(HL) ;CBFE
SET 7,A ;CBFF
CALL Z,NN ;CCXXXX
CALL NN ;CDXXXX
ADC A,N ;CEXX
RST 8H ;CF
RET NC ;D0
POP DE ;D1
JP NC,NN ;D2XXXX
OUT (N),A ;D3XX
CALL NC,NN ;D4XXXX
CALL NC,NN ;D4XXXX
PUSH DE ;D5
SUB N ;D6XX
RST 10H ;D7
RET C ;D8
EXX ;D9
JP C,NN ;DAXXXX
IN A,(N) ;DBXX
CALL C,NN ;DCXXXX
ADD IX,BC ;DD09
ADD IX,DE ;DD19
LD IX,NN ;DD21XXXX
LD (NN),IX ;DD22XXXX
INC IX ;DD23
ADD IX,IX ;DD29
LD IX,(NN) ;DD2AXXXX
DEC IX ;DD2B
INC (IX+N) ;DD34XX
DEC (IX+N) ;DD35XX
LD (IX+N),N ;DD36XXXX
ADD IX,SP ;DD39
LD B,(IX+N) ;DD46XX
LD C,(IX+N) ;DD4EXX
LD D,(IX+N) ;DD56XX
LD E,(IX+N) ;DD5EXX
LD H,(IX+N) ;DD66XX
LD L,(IX+N) ;DD6EXX
LD (IX+N),B ;DD70XX
LD (IX+N),C ;DD71XX
LD (IX+N),D ;DD72XX
LD (IX+N),E ;DD73XX
LD (IX+N),H ;DD74XX
LD (IX+N),L ;DD75XX
LD (IX+N),A ;DD77XX
LD A,(IX+N) ;DD7EXX
ADD A,(IX+N) ;DD86XX
ADC A,(IX+N) ;DD8EXX
SUB (IX+N) ;DD96XX
SBC A,(IX+N) ;DD9EXX
AND (IX+N) ;DDA6XX
XOR (IX+N) ;DDAEXX
OR (IX+N) ;DDB6XX
CP (IX+N) ;DDBEXX
RLC (IX+N) ;DDCBXX06
RRC (IX+N) ;DDCBXX0E
RL (IX+N) ;DDCBXX16
RR (IX+N) ;DDCBXX1E
SLA (IX+N) ;DDCBXX26
SRA (IX+N) ;DDCBXX2E
BIT 0,(IX+N) ;DDCBXX46
BIT 1,(IX+N) ;DDCBXX4E
BIT 2,(IX+N) ;DDCBXX56
BIT 3,(IX+N) ;DDCBXX5E
BIT 4,(IX+N) ;DDCBXX66
BIT 5,(IX+N) ;DDCBXX6E
BIT 6,(IX+N) ;DDCBXX76
BIT 7,(IX+N) ;DDCBXX7E
RES 0,(IX+N) ;DDCBXX86
RES 1,(IX+N) ;DDCBXX8E
RES 2,(IX+N) ;DDCBXX96
RES 3,(IX+N) ;DDCBXX9E
RES 4,(IX+N) ;DDCBXXA6
RES 5,(IX+N) ;DDCBXXAE
RES 6,(IX+N) ;DDCBXXB6
RES 7,(IX+N) ;DDCBXXBE
SET 0,(IX+N) ;DDCBXXC6
SET 1,(IX+N) ;DDCBXXCE
SET 2,(IX+N) ;DDCBXXD6
SET 3,(IX+N) ;DDCBXXDE
SET 4,(IX+N) ;DDCBXXE6
SET 5,(IX+N) ;DDCBXXEE
SET 6,(IX+N) ;DDCBXXF6
SET 7,(IX+N) ;DDCBXXFE
POP IX ;DDE1
EX (SP),IX ;DDE3
PUSH IX ;DDE5
JP (IX) ;DDE9
LD SP,IX ;DDF9
SBC A,N ;DEXX
RST 18H ;DF
RET PO ;E0
POP HL ;E1
JP PO,NN ;E2XXXX
EX (SP),HL ;E3
CALL PO,NN ;E4XXXX
PUSH HL ;E5
AND N ;E6XX
RST 20H ;E7
RET PE ;E8
JP (HL) ;E9
JP PE,NN ;EAXXXX
EX DE,HL ;EB
CALL PE,NN ;ECXXXX
IN B,(C) ;ED40
OUT (C),B ;ED41
SBC HL,BC ;ED42
LD (NN),BC ;ED43XXXX
NEG ;ED44
RETN ;ED45
IM 0 ;ED46
LD I,A ;ED47
IN C,(C) ;ED48
OUT (C),C ;ED49
ADC HL,BC ;ED4A
LD BC,(NN) ;ED4BXXXX
RETI ;ED4D
IN D,(C) ;ED50
OUT (C),D ;ED51
SBC HL,DE ;ED52
LD (NN),DE ;ED53XXXX
IM 1 ;ED56
LD A,I ;ED57
IN E,(C) ;ED58
OUT (C),E ;ED59
ADC HL,DE ;ED5A
LD DE,(NN) ;ED5BXXXX
IM 2 ;ED5E
IN H,(C) ;ED60
OUT (C),H ;ED61
SBC HL,HL ;ED62
RRD ;ED67
IN L,(C) ;ED68
OUT (C),L ;ED69
ADC HL,HL ;ED6A
RLD ;ED6F
SBC HL,SP ;ED72
LD (NN),SP ;ED73XXXX
IN A,(C) ;ED78
OUT (C),A ;ED79
ADC HL,SP ;ED7A
LD SP,(NN) ;ED7BXXXX
LDI ;EDA0
CPI ;EDA1
INI ;EDA2
OUTI ;EDA3
LDD ;EDA8
CPD ;EDA9
IND ;EDAA
OUTD ;EDAB
LDIR ;EDB0
CPIR ;EDB1
INIR ;EDB2
OTIR ;EDB3
LDDR ;EDB8
CPDR ;EDB9
INDR ;EDBA
OTDR ;EDBB
XOR N ;EEXX
RST 28H ;EF
RET P ;F0
POP AF ;F1
JP P,NN ;F2XXXX
DI ;F3
CALL P,NN ;F4XXXX
PUSH AF ;F5
OR N ;F6XX
RST 30H ;F7
RET M ;F8
LD SP,HL ;F9
JP M,NN ;FAXXXX
EI ;FB
CALL M,NN ;FCXXXX
ADD IY,BC ;FD09
ADD IY,DE ;FD19
LD IY,NN ;FD21XXXX
LD (NN),IY ;FD22XXXX
INC IY ;FD23
ADD IY,IY ;FD29
LD IY,(NN) ;FD2AXXXX
DEC IY ;FD2B
INC (IY+N) ;FD34XX
DEC (IY+N) ;FD35XX
LD (IY+N),N ;FD36XXXX
ADD IY,SP ;FD39
LD B,(IY+N) ;FD46XX
LD C,(IY+N) ;FD4EXX
LD D,(IY+N) ;FD56XX
LD E,(IY+N) ;FD5EXX
LD H,(IY+N) ;FD66XX
LD L,(IY+N) ;FD6EXX
LD (IY+N),B ;FD70XX
LD (IY+N),C ;FD71XX
LD (IY+N),D ;FD72XX
LD (IY+N),E ;FD73XX
LD (IY+N),H ;FD74XX
LD (IY+N),L ;FD75XX
LD (IY+N),A ;FD77XX
LD A,(IY+N) ;FD7EXX
ADD A,(IY+N) ;FD86XX
ADC A,(IY+N) ;FD8EXX
SUB (IY+N) ;FD96XX
SBC A,(IY+N) ;FD9EXX
AND (IY+N) ;FDA6XX
XOR (IY+N) ;FDAEXX
OR (IY+N) ;FDB6XX
CP (IY+N) ;FDBEXX
RLC (IY+N) ;FDCBXX06
RRC (IY+N) ;FDCBXX0E
RL (IY+N) ;FDCBXX16
RR (IY+N) ;FDCBXX1E
SLA (IY+N) ;FDCBXX26
SRA (IY+N) ;FDCBXX2E
BIT 0,(IY+N) ;FDCBXX46
BIT 1,(IY+N) ;FDCBXX4E
BIT 2,(IY+N) ;FDCBXX56
BIT 3,(IY+N) ;FDCBXX5E
BIT 4,(IY+N) ;FDCBXX66
BIT 5,(IY+N) ;FDCBXX6E
BIT 6,(IY+N) ;FDCBXX76
BIT 7,(IY+N) ;FDCBXX7E
RES 0,(IY+N) ;FDCBXX86
RES 1,(IY+N) ;FDCBXX8E
RES 2,(IY+N) ;FDCBXX96
RES 3,(IY+N) ;FDCBXX9E
RES 4,(IY+N) ;FDCBXXA6
RES 5,(IY+N) ;FDCBXXAE
RES 6,(IY+N) ;FDCBXXB6
RES 7,(IY+N) ;FDCBXXBE
SET 0,(IY+N) ;FDCBXXC6
SET 1,(IY+N) ;FDCBXXCE
SET 2,(IY+N) ;FDCBXXD6
SET 3,(IY+N) ;FDCBXXDE
SET 4,(IY+N) ;FDCBXXE6
SET 5,(IY+N) ;FDCBXXEE
SET 6,(IY+N) ;FDCBXXF6
SET 7,(IY+N) ;FDCBXXFE
POP IY ;FDE1
EX (SP),IY ;FDE3
PUSH IY ;FDE5
JP (IY) ;FDE9
LD SP,IY ;FDF9
CP N ;FEXX
RST 38H ;FF
